,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exponencial,,,,,,,0.4_12,,0.4_13,,0.4_14,,,Proteção/N faltas,,,,,,,,Proteção/Atuações,,,,,,
,Proteção,Atuações,Tempo ativo (h),tempo ativo (%),,,Proteção,Atuações,Proteção,Atuações,Proteção,Atuações,,Parametros,Hz,POA,JG,RG,BG,Sum,,,Hz,POA,Jag,RG,BG,Sum
Horizontina,1/1 (100%),14,43.2,0.5%,,Horizontina,1/1 (100%),15,1/1 (100%),13,1/1 (100%),11,,0.4_14, 1.00 , 0.67 , 0.29 , 0.29 , 0.50 , 2.74 ,,0.4_14,0.09,1.00,0.40,1.00,0.15, 2.64 
Porto Alegre,6/6 (100%),-,7015.5,80.1%,,Porto Alegre,4/6 (67%),11,4/6 (67%),5,4/6 (67%),4,,0.4_13, 1.00 , 0.67 , 0.43 , 0.43 , 1.00 , 3.52 ,,0.4_13,0.08,0.80,0.43,0.75,0.20, 2.26 
Jaguarao,2/7 (28%),4,9.0,0.1%,,Jaguarao,5/7 (71%),11,3/7 (43%),7,2/7 (29%),5,,0.4_12, 1.00 , 0.67 , 0.71 , 0.57 , 1.00 , 3.95 ,,0.4_12,0.07,0.36,0.45,0.80,0.15, 1.84 
Rio Grande,4/7 (57%),8,23.3,0.3%,,Rio Grande,4/7 (57%),5,3/7 (43%),4,2/7 (29%),2,,0.5_14, 1.00 , 0.67 , 0.43 , 0.29 , 1.00 , 3.38 ,,0.5_14,0.08,1.00,0.50,0.67,0.25, 2.50 
Bagé,3/4 (75%),13,46.3,0.5%,,Bagé,4/4 (100%),26,4/4 (100%),20,2/4 (50%),13,,0.5_13, 1.00 , 0.67 , 0.57 , 0.57 , 1.00 , 3.81 ,,0.5_13,0.07,0.50,0.50,0.80,0.17, 2.04 
,,,,,,,,,,,,,,0.5_12, 1.00 , 0.83 , 0.86 , 0.57 , 1.00 , 4.26 ,,0.5_12,0.07,0.38,0.46,0.57,0.14, 1.62 
Média dos ventos de falta,,,,,,,0.5_12,,0.5_13,,0.5_14,,,0.6_14, 1.00 , 0.67 , 0.57 , 0.57 , 1.00 , 3.81 ,,0.6_14,0.08,0.80,0.50,0.80,0.20, 2.38 
,Proteção,Atuações,Tempo ativo (h),tempo ativo (%),,,Proteção,Atuações,Proteção,Atuações,Proteção,Atuações,,0.6_13, 1.00 , 0.67 , 0.71 , 0.57 , 1.00 , 3.95 ,,0.6_13,0.07,0.40,0.42,0.50,0.15, 1.54 
Horizontina,1/1,12,37.8,0.4%,,Horizontina,1/1 (100%),15,1/1 (100%),14,1/1 (100%),12,,0.6_12, 1.00 , 0.83 , 0.86 , 0.57 , 1.00 , 4.26 ,,0.6_12,0.07,0.33,0.55,0.44,0.13, 1.52 
Porto Alegre,2/6,2,3.4,0.0%,,Porto Alegre,5/6 (83%),13,4/6 (67%),8,4/6 (67%),4,,,,,,,,,,,,,,,,
Jaguarao,3/7,6,14.6,0.2%,,Jaguarao,6/7 (86%),13,4/7 (57%),8,3/7 (43%),6,,Atuações,,,,,,,,,,,,,,
Rio Grande,4/7,5,11.3,0.1%,,Rio Grande,4/7 (57%),7,4/7 (57%),5,2/7 (29%),3,,,Hz,POA,Jag,RG,BG,Sum,,,,,,,,
Bagé,1/4,6,21.6,0.2%,,Bagé,4/4 (100%),29,4/4 (100%),24,4/4 (100%),16,,0.4_14,11,4,5,2,13, 35 ,,,,,,,,
,,,,,,,,,,,,,,0.4_13,13,5,7,4,20, 49 ,,,,,,,,
,,,,,,,0.6_12,,0.6_13,,0.6_14,,,0.4_12,15,11,11,5,26, 68 ,,,,,,,,
,,,,,,,Proteção,Atuações,Proteção,Atuações,Proteção,Atuações,,0.5_14,12,4,6,3,16, 41 ,,,,,,,,
,,,,,,Horizontina,1/1 (100%),15,1/1 (100%),14,1/1 (100%),13,,0.5_13,14,8,8,5,24, 59 ,,,,,,,,
,,,,,,Porto Alegre,5/6 (83%),15,4/6 (67%),10,4/6 (67%),5,,0.5_12,15,13,13,7,29, 77 ,,,,,,,,
,,,,,,Jaguarao,6/7 (86%),11,5/7 (71%),12,4/7 (57%),8,,0.6_14,13,5,8,5,20, 51 ,,,,,,,,
,,,,,,Rio Grande,4/7 (57%),9,4/7 (57%),8,4/7 (57%),5,,0.6_13,14,10,12,8,26, 70 ,,,,,,,,
,,,,,,Bagé,4/4 (100%),31,4/4 (100%),26,4/4 (100%),20,,0.6_12,15,15,11,9,31, 81 ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Atuações (h),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Hz,POA,Jag,RG,BG,Sum,,,,,,,,
,,,,,,,,,,,,,,0.4_14,35.9,6.7,13.6,5.3,48.4, 110 ,,,,,,,,
,,,,,,,,,,,,,,0.4_13,40.2,9.0,18.2,9.6,71.5, 148 ,,,,,,,,
,,,,,,,,,,,,,,0.4_12,47.4,30.9,30.7,15.3,103.7, 228 ,,,,,,,,
,,,,,,,,,,,,,,0.5_14,37.8,6.7,14.6,6.9,58.7, 125 ,,,,,,,,
,,,,,,,,,,,,,,0.5_13,44.8,20.8,20.8,15.3,91.0, 193 ,,,,,,,,
,,,,,,,,,,,,,,0.5_12,47.4,34.5,34.9,24.3,114.6, 256 ,,,,,,,,
,,,,,,,,,,,,,,0.6_14,40.2,9.0,20.8,15.3,71.5, 157 ,,,,,,,,
,,,,,,,,,,,,,,0.6_13,44.8,27.3,33.7,24.3,103.7, 234 ,,,,,,,,
,,,,,,,,,,,,,,0.6_12,47.4,39.2,37.9,29.6,124.1, 278 ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
